player,debut_season,contract_length
Anthony Davis,2013,4
Michael Kidd-Gilchrist,2013,4
Bradley Beal,2013,4
Dion Waiters,2013,4
Jonas Valanciunas,2013,4
Damian Lillard,2013,4
John Henson,2013,4
Terrence Ross,2013,4
Andre Drummond,2013,4
Thomas Robinson,2013,3
Meyers Leonard,2013,4
Alexey Shved,2013,3
Jeremy Lamb,2013,4
Joel Freeland,2013,3
Harrison Barnes,2013,4
Maurice Harkless,2013,4
Tyler Zeller,2013,4
Terrence Jones,2013,4
Austin Rivers,2013,3
Andrew Nicholson,2013,4
Donatas Motiejunas,2013,4
Evan Fournier,2013,4
Jared Sullinger,2013,4
Tony Wroten Jr.,2013,3
Miles Plumlee,2013,4
Perry Jones III,2013,4
Festus Ezeli,2013,4
Victor Claver,2013,3
Kendall Marshall,2013,2
John Jenkins,2013,3
Royce White,2013,2
Arnett Moultrie,2013,3
Kyle Singler,2013,3
Marquis Teague,2013,3
Vyacheslav Kravtsov,2013,2
Nando De Colo,2013,2
Draymond Green,2013,3
Fab Melo,2013,2
Kyle O'Quinn,2013,3
Quincy Acy,2013,3
Jared Cunningham,2013,2
Doron Lamb,2013,3
Jae Crowder,2013,3
Jeff Taylor,2013,3
Orlando Johnson,2013,3
Will Barton,2013,3
Quincy Miller,2013,3
Khris Middleton,2013,3
Scott Machado,2013,3
Michael Eric,2013,3
Tim Ohlbrecht,2013,3
Bernard James,2013,2
Tyshawn Taylor,2013,2
Mike Scott,2013,2
Kim English,2013,2
Darius Miller,2013,2
Kevin Murphy,2013,2
Kris Joseph,2013,2
Kent Bazemore,2013,2
Maalik Wayns,2013,2
Brian Roberts,2013,2
Henry Sims,2013,2
Aron Baynes,2013,2
Darius Johnson-Odom,2013,1
Robert Sacre,2013,1
Pablo Prigioni,2013,1
Chris Copeland,2013,1
Reeves Nelson,2013,1
Greg Somogyi,2013,1
John Shurna,2013,1
Ben Hansbrough,2013,1
Steven Gray,2013,1
Oscar Bellfield,2013,1
Tony Mitchell,2013,1
Rick Jackson,2013,1
Demonte Harper,2013,1
Michael Dunigan,2013,1
Josh Akognon,2013,1
Ronnie Aguilar,2013,1
DeQuan Jones,2013,1
Devin Searcy,2013,1
Justin Holiday,2013,1
Chris Wright,2013,1
Ryan Allen,2013,1
Carlon Brown,2013,1
Lance Goulbourne,2013,1
D'Aundray Brown,2013,1
Hank Thorns,2013,1
Dallas Lauderdale,2013,1
Josh Owens,2013,1
Diante Garrett,2013,1
Robert Dozier,2013,1
Jarvis Varnado,2013,1
